film_title,film_id
Cleopatra,1
Eskimo,2
Flirtation Walk,3
Flying Down to Rio,4
Here Comes the Navy,5
Hide-Out,6
Imitation of Life,7
It Happened One Night,8
Manhattan Melodrama,9
Of Human Bondage,10
One Night of Love,11
Operator 13,12
She Loves Me Not,13
The Affairs of Cellini,14
The Barretts of Wimpole Street,15
The Gay Divorcee,16
The House of Rothschild,17
The Lost Patrol,18
The Merry Widow,19
The Richest Girl in the World,20
The Thin Man,21
The White Parade,22
Viva Villa!,23
"$1,000 a Minute",24
A Midsummer Night's Dream,25
Alice Adams,26
Barbary Coast,27
Becky Sharp,28
Black Fury,29
Bride of Frankenstein,30
Broadway Melody of 1936,31
Captain Blood,32
Dangerous,33
David Copperfield,34
Escape Me Never,35
G-Men,36
Gold Diggers of 1935,37
I Dream Too Much,38
Les Miserables,39
Love Me Forever,40
Mutiny on the Bounty,41
Naughty Marietta,42
Peter Ibbetson,43
Private Worlds,44
Roberta,45
Ruggles of Red Gap,46
Thanks a Million,47
The Crusades,48
The Dark Angel,49
The Gay Deception,50
The Informer,51
The Lives of a Bengal Lancer,52
The Scoundrel,53
Top Hat,54
A Tale of Two Cities,55
After the Thin Man,56
Anthony Adverse,57
Banjo on My Knee,58
Born to Dance,59
Come and Get It,60
Dodsworth,61
Fury,62
General Spanky,63
Libeled Lady,64
Lloyds of London,65
Mr. Deeds Goes to Town,66
My Man Godfrey,67
Pennies from Heaven,68
Pigskin Parade,69
Romeo and Juliet,70
San Francisco,71
"Sing, Baby, Sing",72
Suzy,73
Swing Time,74
That Girl from Paris,75
The Charge of the Light Brigade,76
The Garden of Allah,77
The General Died at Dawn,78
The Gorgeous Hussy,79
The Great Ziegfeld,80
The Magnificent Brute,81
The Story of Louis Pasteur,82
The Texas Rangers,83
Theodora Goes Wild,84
These Three,85
Three Smart Girls,86
Trail of the Lonesome Pine,87
Valiant Is the Word for Carrie,88
Winterset,89
A Damsel in Distress,90
A Star Is Born,91
Artists and Models,92
Black Legion,93
Camille,94
Captains Courageous,95
Conquest,96
Dead End,97
Every Day's a Holiday,98
Hitting a New High,99
In Old Chicago,100
Lost Horizon,101
Make a Wish,102
Manhattan Merry-Go-Round,103
Maytime,104
Mr. Dodd Takes the Air,105
Night Must Fall,106
One Hundred Men and a Girl,107
Portia on Trial,108
Quality Street,109
Shall We Dance,110
Snow White and the Seven Dwarfs,111
Something to Sing About,112
Souls at Sea,113
Stage Door,114
Stella Dallas,115
The Awful Truth,116
The Girl Said No,117
The Good Earth,118
The Hurricane,119
The Life of Emile Zola,120
The Prisoner of Zenda,121
Topper,122
Waikiki Wedding,123
Walter Wanger's Vogues of 1938,124
Way Out West,125
Wee Willie Winkie,126
Wells Fargo,127
Wings over Honolulu,128
You're a Sweetheart,129
Alexander's Ragtime Band,130
Algiers,131
Angels with Dirty Faces,132
Army Girl,133
Block-Heads,134
Blockade,135
Boys Town,136
Breaking the Ice,137
Carefree,138
Four Daughters,139
Girls' School,140
Going Places,141
Grand Illusion,142
Holiday,143
If I Were King,144
Jezebel,145
Kentucky,146
Mad about Music,147
Mannequin,148
Marie Antoinette,149
Merrily We Live,150
Of Human Hearts,151
Pacific Liner,152
Pygmalion,153
Storm over Bengal,154
Suez,155
Sweethearts,156
Test Pilot,157
That Certain Age,158
The Adventures of Robin Hood,159
The Adventures of Tom Sawyer,160
The Big Broadcast of 1938,161
The Buccaneer,162
The Citadel,163
The Cowboy and the Lady,164
The Goldwyn Follies,165
The Great Waltz,166
The Lady Objects,167
The Young in Heart,168
There Goes My Heart,169
Three Comrades,170
Tropic Holiday,171
Under Western Stars,172
Vivacious Lady,173
White Banners,174
You Can't Take It with You,175
Babes in Arms,176
Bachelor Mother,177
Balalaika,178
Beau Geste,179
Captain Fury,180
Dark Victory,181
Drums along the Mohawk,182
Eternally Yours,183
First Love,184
Four Feathers,185
Golden Boy,186
Gone with the Wind,187
"Goodbye, Mr. Chips",188
Gulliver's Travels,189
Gunga Din,190
Intermezzo,191
Juarez,192
Lady of the Tropics,193
Love Affair,194
Man of Conquest,195
Mr. Smith Goes to Washington,196
Ninotchka,197
Nurse Edith Cavell,198
Of Mice and Men,199
Only Angels Have Wings,200
Second Fiddle,201
She Married a Cop,202
Stagecoach,203
Swanee River,204
The Great Victor Herbert,205
The Hunchback of Notre Dame,206
The Man in the Iron Mask,207
The Mikado,208
The Private Lives of Elizabeth and Essex,209
The Rains Came,210
The Wizard of Oz,211
They Shall Have Music,212
Way Down South,213
When Tomorrow Comes,214
Wuthering Heights,215
Young Mr. Lincoln,216
Abe Lincoln in Illinois,217
"All This, and Heaven Too",218
Angels over Broadway,219
"Arise, My Love",220
Arizona,221
Behind the News,222
Bitter Sweet,223
Boom Town,224
Captain Caution,225
Comrade X,226
Down Argentine Way,227
Dr. Ehrlich's Magic Bullet,228
"Edison, the Man",229
Foreign Correspondent,230
Hit Parade of 1941,231
Irene,232
Kitty Foyle,233
Lillian Russell,234
Music in My Heart,235
My Favorite Wife,236
"My Son, My Son!",237
North West Mounted Police,238
Northwest Passage,239
One Million B.C.,240
Our Town,241
Pinocchio,242
Pride and Prejudice,243
Primrose Path,244
Rebecca,245
Rhythm on the River,246
Second Chorus,247
Spring Parade,248
Strike Up the Band,249
The Blue Bird,250
The Boys from Syracuse,251
The Dark Command,252
The Fight for Life,253
The Grapes of Wrath,254
The Great Dictator,255
The Great McGinty,256
The House of the Seven Gables,257
The Howards of Virginia,258
The Letter,259
The Long Voyage Home,260
The Mark of Zorro,261
The Philadelphia Story,262
The Sea Hawk,263
The Thief of Bagdad,264
The Westerner,265
They Knew What They Wanted,266
Tin Pan Alley,267
Too Many Husbands,268
Waterloo Bridge,269
You'll Find Out,270
All-American Co-Ed,271
All That Money Can Buy,272
Aloma of the South Seas,273
Appointment for Love,274
Back Street,275
Ball of Fire,276
Billy the Kid,277
Birth of the Blues,278
Blood and Sand,279
Blossoms in the Dust,280
Blues in the Night,281
Buck Privates,282
Cheers for Miss Bishop,283
Citizen Kane,284
Dive Bomber,285
Dr. Jekyll and Mr. Hyde,286
Dumbo,287
Here Comes Mr. Jordan,288
Hold Back the Dawn,289
How Green Was My Valley,290
Ice-Capades,291
King of the Zombies,292
Ladies in Retirement,293
Lady Be Good,294
Las Vegas Nights,295
Louisiana Purchase,296
Lydia,297
Meet John Doe,298
Mercy Island,299
Night Train,300
One Foot in Heaven,301
Penny Serenade,302
Ridin' on a Rainbow,303
Sergeant York,304
Skylark,305
So Ends Our Night,306
Sun Valley Serenade,307
Sundown,308
Sunny,309
Suspicion,310
"Tall, Dark and Handsome",311
Tanks a Million,312
That Hamilton Woman,313
That Uncertain Feeling,314
The Chocolate Soldier,315
The Devil and Miss Jones,316
The Devil Pays Off,317
The Flame of New Orleans,318
The Great Lie,319
The Lady Eve,320
The Little Foxes,321
The Maltese Falcon,322
The Men in Her Life,323
The Son of Monte Cristo,324
The Strawberry Blonde,325
This Woman Is Mine,326
"Tom, Dick and Harry",327
Topper Returns,328
When Ladies Meet,329
You'll Never Get Rich,330
Always in My Heart,331
Arabian Nights,332
Babes on Broadway,333
Bambi,334
Captains of the Clouds,335
Flying Tigers,336
Flying with Music,337
For Me and My Gal,338
Friendly Enemies,339
George Washington Slept Here,340
Hellzapoppin',341
Holiday Inn,342
I Married a Witch,343
It Started with Eve,344
Joan of Paris,345
Johnny Doughboy,346
Johnny Eager,347
Jungle Book,348
Kings Row,349
Klondike Fury,350
Moontide,351
Mrs. Miniver,352
My Gal Sal,353
My Sister Eileen,354
"Now, Voyager",355
Once upon a Honeymoon,356
One of Our Aircraft Is Missing,357
Orchestra Wives,358
Random Harvest,359
Reap the Wild Wind,360
Road to Morocco,361
Silver Queen,362
"Take a Letter, Darling",363
Ten Gentlemen from West Point,364
The Black Swan,365
The Corsican Brothers,366
The Gold Rush,367
The Invaders,368
The Magnificent Ambersons,369
The Mayor of 44th Street,370
The Pied Piper,371
The Pride of the Yankees,372
The Shanghai Gesture,373
The Spoilers,374
The Talk of the Town,375
The War against Mrs. Hadley,376
This above All,377
To Be or Not to Be,378
To the Shores of Tripoli,379
Tortilla Flat,380
Wake Island,381
Woman of the Year,382
Yankee Doodle Dandy,383
You Were Never Lovelier,384
Youth on Parade,385
Action in the North Atlantic,386
Air Force,387
Cabin in the Sky,388
Casablanca,389
Commandos Strike at Dawn,390
Coney Island,391
Corvette K-225,392
Destination Tokyo,393
Five Graves to Cairo,394
Flight for Freedom,395
For Whom the Bell Tolls,396
Hangmen Also Die,397
Heaven Can Wait,398
"Hello, Frisco, Hello",399
Hers to Hold,400
Hi Diddle Diddle,401
Hit Parade of 1943,402
Holy Matrimony,403
In Old Oklahoma,404
In Which We Serve,405
Johnny Come Lately,406
Lady of Burlesque,407
Lassie Come Home,408
Madame Curie,409
Mission to Moscow,410
Phantom of the Opera,411
Princess O'Rourke,412
Riding High,413
Sahara,414
Saludos Amigos,415
Shadow of a Doubt,416
So Proudly We Hail!,417
So This Is Washington,418
Something to Shout About,419
Stage Door Canteen,420
Star Spangled Rhythm,421
Thank Your Lucky Stars,422
The Amazing Mrs. Holliday,423
The Constant Nymph,424
The Fallen Sparrow,425
The Gang's All Here,426
The Human Comedy,427
The Kansan,428
The Moon and Sixpence,429
The More the Merrier,430
The North Star,431
The Ox-Bow Incident,432
The Sky's the Limit,433
The Song of Bernadette,434
This Is the Army,435
This Land Is Mine,436
Thousands Cheer,437
Victory through Air Power,438
Watch on the Rhine,439
A Guy Named Joe,440
Address Unknown,441
Brazil,442
Casanova Brown,443
Christmas Holiday,444
Cover Girl,445
Double Indemnity,446
Dragon Seed,447
Follow the Boys,448
Gaslight,449
Going My Way,450
Hail the Conquering Hero,451
Higher and Higher,452
His Butler's Sister,453
Hollywood Canteen,454
Home in Indiana,455
Irish Eyes Are Smiling,456
It Happened Tomorrow,457
Jack London,458
Janie,459
Kismet,460
Knickerbocker Holiday,461
Lady in the Dark,462
"Lady, Let's Dance",463
Laura,464
Lifeboat,465
Meet Me in St. Louis,466
Minstrel Man,467
Mr. Skeffington,468
Mrs. Parkington,469
Music in Manhattan,470
No Time for Love,471
None but the Lonely Heart,472
None Shall Escape,473
Sensations of 1945,474
Since You Went Away,475
Song of the Open Road,476
Step Lively,477
Summer Storm,478
Sweet and Lowdown,479
The Adventures of Mark Twain,480
The Bridge of San Luis Rey,481
The Climax,482
The Desert Song,483
The Fighting Seabees,484
The Hairy Ape,485
The Merry Monahans,486
The Miracle of Morgan's Creek,487
The Princess and the Pirate,488
The Seventh Cross,489
The Sullivans,490
The Uninvited,491
The White Cliffs of Dover,492
Thirty Seconds over Tokyo,493
Three Russian Girls,494
Two Girls and a Sailor,495
Up in Arms,496
Up in Mabel's Room,497
Voice in the Wind,498
Wilson,499
Wing and a Prayer,500
Woman of the Town,501
A Medal for Benny,502
A Song to Remember,503
A Thousand and One Nights,504
A Tree Grows in Brooklyn,505
Anchors Aweigh,506
Belle of the Yukon,507
Blood on the Sun,508
Brewster's Millions,509
Can't Help Singing,510
Captain Kidd,511
Dillinger,512
Earl Carroll Vanities,513
Experiment Perilous,514
Flame of Barbary Coast,515
Frenchman's Creek,516
G. I. Honeymoon,517
G. I. Joe,518
Guest in the House,519
Guest Wife,520
Here Come the Waves,521
Hitchhike to Happiness,522
Incendiary Blonde,523
Lady on a Train,524
Leave Her to Heaven,525
Love Letters,526
Marie-Louise,527
Mildred Pierce,528
Music for Millions,529
National Velvet,530
"Objective, Burma!",531
Paris--Underground,532
Pride of the Marines,533
Rhapsody in Blue,534
Salty O'Rourke,535
San Antonio,536
Sing Your Way Home,537
Spellbound,538
State Fair,539
Sunbonnet Sue,540
The Affairs of Susan,541
The Bells of St. Mary's,542
The Corn Is Green,543
The Enchanted Cottage,544
The House on 92nd Street,545
The Keys of the Kingdom,546
The Lost Weekend,547
The Man Who Walked Alone,548
The Picture of Dorian Gray,549
The Southerner,550
The Spanish Main,551
The Three Caballeros,552
The Unseen,553
The Valley of Decision,554
The Woman in the Window,555
They Were Expendable,556
This Love of Ours,557
Three Is a Family,558
Tonight and Every Night,559
"What Next, Corporal Hargrove?",560
Why Girls Leave Home,561
Wonder Man,562
Anna and the King of Siam,563
Blue Skies,564
Brief Encounter,565
Caesar and Cleopatra,566
Canyon Passage,567
Centennial Summer,568
Children of Paradise,569
Duel in the Sun,570
Henry V,571
Humoresque,572
It's a Wonderful Life,573
Kitty,574
Night and Day,575
Notorious,576
Open City,577
Road to Utopia,578
Saratoga Trunk,579
Sister Kenny,580
The Best Years of Our Lives,581
The Blue Dahlia,582
The Dark Mirror,583
The Dolly Sisters,584
The Green Years,585
The Harvey Girls,586
The Jolson Story,587
The Killers,588
The Razor's Edge,589
The Seventh Veil,590
The Spiral Staircase,591
The Strange Love of Martha Ivers,592
The Stranger,593
The Yearling,594
To Each His Own,595
Vacation from Marriage,596
A Cage of Nightingales,597
A Double Life,598
Black Narcissus,599
Body and Soul,600
Boomerang!,601
Captain from Castile,602
Crossfire,603
Fiesta,604
Forever Amber,605
Gentleman's Agreement,606
Good News,607
Great Expectations,608
Green Dolphin Street,609
It Happened on Fifth Avenue,610
Kiss of Death,611
Life with Father,612
Miracle on 34th Street,613
Monsieur Verdoux,614
Mother Wore Tights,615
Mourning Becomes Electra,616
My Wild Irish Rose,617
Odd Man Out,618
Possessed,619
Ride the Pink Horse,620
Road to Rio,621
Shoe-Shine,622
Smash-Up--The Story of a Woman,623
Song of the South,624
T-Men,625
The Bachelor and the Bobby-Soxer,626
The Bishop's Wife,627
The Egg and I,628
The Farmer's Daughter,629
The Foxes of Harrow,630
The Ghost and Mrs. Muir,631
The Paradine Case,632
The Perils of Pauline,633
"The Time, the Place and the Girl",634
A Foreign Affair,635
B. F.'s Daughter,636
Casbah,637
Easter Parade,638
Green Grass of Wyoming,639
Hamlet,640
I Remember Mama,641
Joan of Arc,642
Johnny Belinda,643
Key Largo,644
Louisiana Story,645
Moonrise,646
Portrait of Jennie,647
Red River,648
Romance on the High Seas,649
Sitting Pretty,650
"Sorry, Wrong Number",651
That Lady in Ermine,652
The Emperor Waltz,653
The Loves of Carmen,654
The Luck of the Irish,655
The Naked City,656
The Paleface,657
The Pirate,658
The Red Shoes,659
The Search,660
The Snake Pit,661
The Three Musketeers,662
The Treasure of the Sierra Madre,663
Wet Blanket Policy,664
When My Baby Smiles at Me,665
A Letter to Three Wives,666
All the King's Men,667
Battleground,668
Beyond the Forest,669
Champion,670
Come to the Stable,671
"Edward, My Son",672
It's a Great Feeling,673
It Happens Every Spring,674
Jolson Sings Again,675
Little Women,676
Look for the Silver Lining,677
Madame Bovary,678
Mother Is a Freshman,679
My Foolish Heart,680
Neptune's Daughter,681
On the Town,682
"Once More, My Darling",683
Paisan,684
Passport to Pimlico,685
Pinky,686
Prince of Foxes,687
Sand,688
Sands of Iwo Jima,689
Saraband,690
She Wore a Yellow Ribbon,691
So Dear to My Heart,692
The Adventures of Don Juan,693
The Barkleys of Broadway,694
The Bicycle Thief,695
The Fallen Idol,696
The Hasty Heart,697
The Heiress,698
The Quiet One,699
The Stratton Story,700
The Window,701
Twelve O'Clock High,702
White Heat,703
Adam's Rib,704
All about Eve,705
Annie Get Your Gun,706
Bitter Rice,707
Born Yesterday,708
Broken Arrow,709
Caged,710
"Captain Carey, U.S.A.",711
Cinderella,712
Cyrano de Bergerac,713
Destination Moon,714
Father of the Bride,715
Harvey,716
I'll Get By,717
King Solomon's Mines,718
Louisa,719
Mister 880,720
Mystery Street,721
No Sad Songs for Me,722
No Way Out,723
Our Very Own,724
Panic in the Streets,725
Samson and Delilah,726
Singing Guns,727
Sunset Blvd.,728
That Forsyte Woman,729
The Asphalt Jungle,730
The Black Rose,731
The Flame and the Arrow,732
The Furies,733
The Gunfighter,734
The Magnificent Yankee,735
The Men,736
The Red Danube,737
The Third Man,738
The Toast of New Orleans,739
The West Point Story,740
Three Little Words,741
Trio,742
Wabash Avenue,743
When Willie Comes Marching Home,744
A Place in the Sun,745
A Streetcar Named Desire,746
Alice in Wonderland,747
An American in Paris,748
Bright Victory,749
Bullfighter and the Lady,750
Come Fill the Cup,751
David and Bathsheba,752
Death of a Salesman,753
Decision before Dawn,754
Detective Story,755
Fourteen Hours,756
Go for Broke!,757
Golden Girl,758
Here Comes the Groom,759
House on Telegraph Hill,760
I Want You,761
Kind Lady,762
La Ronde,763
On the Riviera,764
Quo Vadis,765
"Rich, Young and Pretty",766
Royal Wedding,767
Seven Days to Noon,768
Show Boat,769
Strangers on a Train,770
Tales of Hoffmann,771
Teresa,772
The African Queen,773
The Big Carnival,774
The Blue Veil,775
The Frogmen,776
The Great Caruso,777
The Mating Season,778
The Model and the Marriage Broker,779
The Mudlark,780
The Strip,781
The Well,782
Too Young to Kiss,783
Two Tickets to Broadway,784
When Worlds Collide,785
Affair in Trinidad,786
Because You're Mine,787
Breaking the Sound Barrier,788
Carrie,789
"Come Back, Little Sheba",790
Five Fingers,791
Flat Top,792
Hans Christian Andersen,793
High Noon,794
Ivanhoe,795
Just for You,796
Million Dollar Mermaid,797
Miracle of Fatima,798
Moulin Rouge,799
My Cousin Rachel,800
My Son John,801
Navajo,802
Pat and Mike,803
Rashomon,804
Singin' in the Rain,805
Son of Paleface,806
Sudden Fear,807
The Atomic City,808
The Bad and the Beautiful,809
The Big Sky,810
The Greatest Show on Earth,811
The Jazz Singer,812
The Lavender Hill Mob,813
The Man in the White Suit,814
The Medium,815
The Member of the Wedding,816
The Merry Widow,817
The Narrow Margin,818
The Pride of St. Louis,819
The Promoter,820
The Quiet Man,821
The Sniper,822
The Snows of Kilimanjaro,823
The Star,824
The Thief,825
Viva Zapata!,826
With a Song in My Heart,827
Above and Beyond,828
All the Brothers Were Valiant,829
Beneath the 12-Mile Reef,830
Calamity Jane,831
Call Me Madam,832
Crazylegs,833
Dream Wife,834
From Here to Eternity,835
Hondo,836
How to Marry a Millionaire,837
Julius Caesar,838
Kiss Me Kate,839
Knights of the Round Table,840
Lili,841
Little Fugitive,842
Martin Luther,843
Miss Sadie Thompson,844
Mogambo,845
Pickup on South Street,846
Roman Holiday,847
Shane,848
Small Town Girl,849
Stalag 17,850
Take the High Ground,851
"The 5,000 Fingers of Dr. T",852
The Actress,853
The Band Wagon,854
The Caddy,855
The Captain's Paradise,856
The Cruel Sea,857
The Desert Rats,858
The Four Poster,859
The Mississippi Gambler,860
The Moon Is Blue,861
The Naked Spur,862
The President's Lady,863
The Robe,864
The Story of Three Loves,865
The War of the Worlds,866
This Is Cinerama,867
Titanic,868
Torch Song,869
Young Bess,870
"20,000 Leagues under the Sea",871
A Star Is Born,872
Adventures of Robinson Crusoe,873
"Bread, Love and Dreams",874
Brigadoon,875
Broken Lance,876
Carmen Jones,877
Desiree,878
Executive Suite,879
Forbidden Games,880
Gate of Hell,881
Genevieve,882
Indiscretion of an American Wife,883
It Should Happen to You,884
Knock on Wood,885
Le Plaisir,886
Magnificent Obsession,887
Night People,888
On the Waterfront,889
Rear Window,890
Red Garters,891
Rogue Cop,892
Sabrina,893
Seven Brides for Seven Brothers,894
Susan Slept Here,895
The Barefoot Contessa,896
The Caine Mutiny,897
The Country Girl,898
The Earrings of Madame de...,899
The Egyptian,900
The Glenn Miller Story,901
The High and the Mighty,902
The Silver Chalice,903
There's No Business Like Show Business,904
Three Coins in the Fountain,905
White Christmas,906
A Man Called Peter,907
Bad Day at Black Rock,908
Battle Cry,909
Blackboard Jungle,910
Daddy Long Legs,911
East of Eden,912
Guys and Dolls,913
I'll Cry Tomorrow,914
Interrupted Melody,915
It's Always Fair Weather,916
Love Is a Many-Splendored Thing,917
Love Me or Leave Me,918
Marty,919
Mister Roberts,920
Mr. Hulot's Holiday,921
Not as a Stranger,922
Oklahoma!,923
Pete Kelly's Blues,924
Picnic,925
Queen Bee,926
Rebel without a Cause,927
Strategic Air Command,928
Summertime,929
The Bridges at Toko-Ri,930
The Court-Martial of Billy Mitchell,931
The Man with the Golden Arm,932
The Pickwick Papers,933
The Private War of Major Benson,934
The Rose Tattoo,935
The Seven Little Foys,936
The Sheep Has Five Legs,937
The Tender Trap,938
The Virgin Queen,939
To Catch a Thief,940
Trial,941
Ugetsu,942
Unchained,943
Anastasia,944
Around the World in 80 Days,945
Baby Doll,946
Between Heaven and Hell,947
Bus Stop,948
Friendly Persuasion,949
Giant,950
High Society,951
Julie,952
La Strada,953
Lust for Life,954
Meet Me in Las Vegas,955
Richard III,956
Somebody Up There Likes Me,957
Stagecoach to Fury,958
Teenage Rebel,959
The Bad Seed,960
The Best Things in Life Are Free,961
The Bold and the Brave,962
The Brave One,963
The Eddy Duchin Story,964
